# name	slug   ("-" = sin mapear a propósito: promo, marca, basura)
Galletas	snacks-botanas-galletas
12 Rollos	papel-higienico-servilletas
16 Rollos	papel-higienico-servilletas
18 Rollos	papel-higienico-servilletas
24 Rollos	papel-higienico-servilletas
3 Rollos	papel-higienico-servilletas
32 Rollos	papel-higienico-servilletas
3diasmasbaratos	-
4 Rollos	papel-higienico-servilletas
40 Rollos	papel-higienico-servilletas
43" a 52"	tv-video
48 Horas de Ofertas	-
49Aniversario	-
5 ml	-
50 Aniversario	-
52" o más	tv-video
6 Rollos	papel-higienico-servilletas
602	-
9 Rollos	papel-higienico-servilletas
Abarroteria	abarrotes
Abarrotes	abarrotes
Abonos y Fertilizantes	jardin-exteriores
Abrazaderas	fijacion-herrajes
Abrillantadores y Pastas	limpiadores-desinfectantes
Acampar y Pesca	camping
Accesorio para celular	accesorios-celular
Accesorio para proyector	tv-video
Accesorio para Soldadura	soldadura
Accesorio para Tabla Yeso	materiales-construccion
Accesorio y repuesto de impresora	impresoras
Accesorios	-
Accesorios Antena	radios-comunicacion
Accesorios Audio	audio
Accesorios Automotrices	accesorios-cuidado-autos
Accesorios Bronce	plomeria
Accesorios Cámaras y Drones	camaras-drones
Accesorios Cómputo	perifericos
Accesorios Conectores y Adaptadores Telefónicos	redes
Accesorios cosméticos	maquillaje-cosmetologia
Accesorios Cromados	plomeria
Accesorios de arte	arte-manualidades
Accesorios de Audio	audio
Accesorios de belleza	maquillaje-cosmetologia
Accesorios de Cocina	accesorios-para-cocina
Accesorios de Computación	perifericos
Accesorios de Escritura	escritura-correccion
Accesorios de fiesta	fiestas
Accesorios de fútbol	disciplinas-deportivas
Accesorios de impulso	articulos-promocionales-e-impulso
Accesorios de lactancia	biberones-chupones-accesorios
Accesorios de Limpieza | Electrodomésticos	aspiradoras
Accesorios de Limpieza para Línea Blanca	lavado-secado
Accesorios de Mamá	maternidad
Accesorios de Mesa	accesorios-mesa-vajillas
Accesorios de oficina	utiles-escolares-oficina
Accesorios de Tecnología	cables-adaptadores
Accesorios de Telefonía	accesorios-celular
Accesorios de TV y Video para negocios	tv-video
Accesorios decorativos	decoracion-muebles
Accesorios deportivos	accesorios-fitness-y-ejercicio
Accesorios Electricos	electricidad
Accesorios electrónicos	cables-adaptadores
Accesorios Empaque	utiles-escolares-oficina
Accesorios EMT	electricidad
Accesorios Escolares	utiles-escolares-oficina
Accesorios Escritura	escritura-correccion
Accesorios faciales	cuidado-facial-corporal
Accesorios femeninos	accesorios-de-moda
Accesorios fitness	accesorios-fitness-y-ejercicio
Accesorios Gaming	videojuegos
Accesorios Gatos	alimento-para-gatos
Accesorios HDMI	cables-adaptadores
Accesorios Hierro Galv	plomeria
Accesorios Hierro Galvanizado	plomeria
Accesorios Higiene	jabones-geles-bano
Accesorios infantiles	ropa-infantil
Accesorios Lavanderia	detergentes-suavizantes
Accesorios mascotas	juguetes-accesorios-mascotas
Accesorios optica	lentes-y-gorras
Accesorios para Acampar	camping
Accesorios para auto	accesorios-cuidado-autos
Accesorios para Automovil	accesorios-cuidado-autos
Accesorios para baño	bano
Accesorios para baño de Bebes	cuidado-higiene-bebe
Accesorios Para Bebes	puericultura-coches-sillas
Accesorios para Bicicleta	ciclismo-y-bicicletas
Accesorios para bicicletas	ciclismo-y-bicicletas
Accesorios para Bombas y Tanques	plomeria
Accesorios para Cable Coaxial	cables-adaptadores
Accesorios para Cables	cables-adaptadores
Accesorios para celular	accesorios-celular
Accesorios para Celulares	accesorios-celular
Accesorios para Ceramica	materiales-construccion
Accesorios para cocina	accesorios-para-cocina
Accesorios para Compresores	maquinaria
Accesorios para Computadora	perifericos
Accesorios para computadoras	perifericos
