# name	slug
Doseles y gazebos	jardin-exteriores
Dremel	herramientas-electricas
Drones	camaras-drones
Duchas, Brazos y Electroduchas	plomeria
Ductos	climatizacion
DULCERIA	dulces-chocolates
Dulces	dulces-chocolates
Dulces de temporada	dulces-chocolates
Dulces y Chocolates	dulces-chocolates
Dulces, chocolates y chicles	dulces-chocolates
Duplo®	bloques-construccion
Duraznos y melocotones	frutas-frescas
Educación y capacitación	libros
Ejecutiva	muebles-oficina
Ejercicio	accesorios-fitness-y-ejercicio
Ejercicio y movilidad	accesorios-fitness-y-ejercicio
Eléctricas	herramientas-electricas
Electricidad	electricidad
Electro Days	-
Electro mayor	-
Electro menor	electrodomesticos-cocina
Electrodoméstico	-
Electrodomesticos	-
Electrodos	soldadura
Electrolitos	salud-digestiva
Electrónica	-
Electrónica analógica	componentes-electronicos
Electrónica de potencia	componentes-electronicos
Electrónica digital	componentes-electronicos
Electrónicos	-
Elementos de escritura	escritura-correccion
Eliminadores de Humedad	climatizacion
Eliminadores y fuentes de poder	cables-adaptadores
Elípticas	maquinas-cardio-gimnasio
Elotes	verduras-hortalizas
Embutidos	embutidos-jamones
Embutidos y Carnes Frías	embutidos-jamones
Emergencias	primeros-auxilios
Empacados	comidas-preparadas
Empanizadores	harinas-mezclas-reposteria
Empaque	utiles-escolares-oficina
Empaques	plomeria
En Polvo	gaseosas-refrescos
Encendedores	tabaco
Enchape para Pared	materiales-construccion
Enchufes	electricidad
Enciende la ilusión	-
Encuadernado y suministros	utiles-escolares-oficina
Endulzantes	azucar-endulzantes-especias
ENERGÍA	energia-respaldo
Energía alternativa e inversores de energía	energia-respaldo
Energia solar	energia-respaldo
Energizante	bebidas-energeticas-isotonicas
ENERGIZANTES	bebidas-energeticas-isotonicas
Energizantes e Hidratantes	bebidas-energeticas-isotonicas
Enfriadores	componentes-pc
Enfriadores BTS	perifericos
Engrapadora Escolar	utiles-escolares-oficina
Engrapadora Oficina	utiles-escolares-oficina
Engrapadoras y Clavadoras	herramientas-electricas
Enjuague bucal	cuidado-bucal
Enjuague oral	cuidado-bucal
