# slug	parent	name	description
# Los slugs que ya tenían contenido SEO en seeds/category-content se conservan
# tal cual para que `node scripts/seed-category-content.mjs` los vuelva a colgar.
abarrotes		Abarrotes	Despensa: granos, aceites, enlatados, pastas, cereales, snacks, panadería y congelados.
arroz-frijoles-semillas	abarrotes	Arroz, Frijoles y Semillas	Arroz, frijoles, lentejas, granos básicos y semillas.
aceites-mantecas-aderezos	abarrotes	Aceites, Mantecas y Aderezos	Aceites de cocina, mantecas, mayonesa, aderezos y vinagres.
enlatados-conservas	abarrotes	Enlatados y Conservas	Atún, vegetales y frutas enlatadas, aceitunas y conservas.
pastas-salsas	abarrotes	Pastas y Salsas	Pastas, salsas para pasta y pizza, cátsup, mostaza y salsas picantes.
sopas-cremas-instantaneos	abarrotes	Sopas, Cremas e Instantáneos	Sopas, consomés, cremas y comida instantánea.
harinas-mezclas-reposteria	abarrotes	Harinas, Mezclas y Repostería	Harinas, mezclas para hornear, gelatinas, flanes y chocolate para hornear.
cereales-avenas-barras	abarrotes	Cereales, Avenas y Barras	Cereales, avenas, granolas, barras, mermeladas, miel y untables.
cafe-te-modificadores	abarrotes	Café, Té y Modificadores	Café, té, infusiones, cremas para café y jarabes.
azucar-endulzantes-especias	abarrotes	Azúcar, Endulzantes y Especias	Azúcar, sustitutos, sal, especias, sazonadores y condimentos.
snacks-botanas-galletas	abarrotes	Snacks, Botanas y Galletas	Frituras, palomitas, galletas, frutos secos y nueces.
dulces-chocolates	abarrotes	Dulces y Chocolates	Chocolates, caramelos, gomitas, chicles y confites.
panaderia-reposteria	abarrotes	Panadería y Repostería	Pan, tortillas, pasteles, donas y postres.
congelados	abarrotes	Congelados	Comida congelada, helados y postres congelados.
comidas-preparadas	abarrotes	Comidas Preparadas	Listo para comer, delicatessen, ensaladas y empacados.
tabaco	abarrotes	Tabaco y Encendedores	Cigarros, tabacos, vapeo, fósforos y encendedores.
lacteos-y-huevos		Lácteos y Huevos	Leche, quesos, yogurt, mantequilla y huevos.
leche-liquida-polvo	lacteos-y-huevos	Leche Líquida y en Polvo	Leche entera, deslactosada, evaporada, condensada y bebidas vegetales.
quesos-cremas	lacteos-y-huevos	Quesos y Cremas	Quesos frescos, procesados, crema y natilla.
yogurt-postres-lacteos	lacteos-y-huevos	Yogurt y Postres Lácteos	Yogurt batido, bebible, natural y postres.
mantequilla-margarina	lacteos-y-huevos	Mantequilla y Margarina	Mantequillas y margarinas.
huevos	lacteos-y-huevos	Huevos	Cartones de huevos blancos y rojos.
carnes-pescados-embutidos		Carnes, Pescados y Embutidos	Res, cerdo, pollo, embutidos y mariscos.
carne-de-res	carnes-pescados-embutidos	Carne de Res	Cortes, molida, filetes y marinados de res.
carne-de-cerdo	carnes-pescados-embutidos	Carne de Cerdo	Chuletas, costilla, postas y marinados de cerdo.
pollo-y-aves	carnes-pescados-embutidos	Pollo y Aves	Pollo entero, piezas, pechuga y pavo.
embutidos-jamones	carnes-pescados-embutidos	Embutidos y Jamones	Jamón, salchichas, chorizo, tocino y carnes frías.
pescados-mariscos	carnes-pescados-embutidos	Pescados y Mariscos	Pescado, camarones y mariscos frescos, congelados y enlatados.
frutas-y-verduras		Frutas y Verduras	Frescas, congeladas y empacadas.
frutas-frescas	frutas-y-verduras	Frutas Frescas	Bananos, manzanas, cítricos, berries y tropicales.
